idx,kappa,gamma,alpha,cert,cert_d,cert_gen,compliant,moved,moved_G3,e_G3,e_G4,e_G5,kn,kh,kmax
94,42772.20112065695,218416.1,0.2485942,0,0,0,0,1,1,9.099387909827783e-13,2.6948443476726425e-12,0.00013102437379430842,15,8,6
95,15010.032338577594,7614.68,0.2492931,0,0,0,0,1,1,6.565303856120863e-13,4.900690964149135e-12,0.00011612571719271658,10,5,5
96,767197767.3941072,5034377000.0,0.1988259,0,0,0,0,1,1,2.8137855245802257e-07,2.812004269436841e-07,1.2889776160651678e-05,21,11,6
97,120463.21680691479,45373.4,0.2469578,0,0,0,0,1,1,3.122908337548076e-12,1.4735767512780944e-10,9.435743116461056e-06,14,7,6
98,55357441087.96904,45316830000.0,0.2455708,0,0,0,0,1,1,5.677707732515373e-08,6.181111839147413e-08,0.000639045002156534,17,9,5
99,39.94608824097408,25.76448,0.353158,0,0,0,0,1,1,3.3306690738754696e-16,2.4424906541753444e-15,1.1700447499762845e-08,4,2,5
100,1899515.2561746768,10319130.0,1.538705,0,0,0,0,1,1,4.245047338202745e-06,4.245047656781242e-06,5.313036995008291e-05,24,12,5
101,116457308.62411323,115623500.0,39.33046,0,0,0,0,1,1,0.059732094025456095,0.05973209402545854,0.059731982673450035,41,41,6
102,189364384.4559446,127024000.0,0.2475196,0,0,0,0,1,1,2.2242857545266463e-07,2.1887457299244382e-07,0.00014328492422740197,19,10,5
103,1128057019.2528582,457296000.0,0.2443981,0,0,0,0,1,1,7.052469026547215e-07,7.059769294714968e-07,0.00020647502941273377,20,11,6
104,120.1320482439432,111.4165,0.2542941,0,0,0,0,1,1,2.7755575615628914e-15,1.0202949596305189e-13,1.8531052209391774e-06,7,4,6
105,5561910.777703465,24266460.0,0.2750893,0,0,0,0,1,1,4.988995999655188e-07,4.989175974579041e-07,2.492019671862522e-05,22,11,6
106,1309.6733374648745,679.1406,0.2466521,0,0,0,0,1,1,1.887379141862766e-14,1.020739048840369e-12,2.1717987109370895e-05,8,4,5
107,6585761018.000887,3936200000.0,0.2533739,0,0,0,0,1,1,3.071917075159192e-07,3.092630451728695e-07,8.922035037439713e-07,20,10,5
108,26835932775.77742,40474800000.0,0.2705687,0,0,0,0,1,1,1.5309386283296525e-07,1.4888716140815437e-07,0.00040030766667036136,18,9,5
109,29200282052.73842,7185241000.0,0.2496928,0,0,0,0,1,1,4.910424531476879e-08,7.188995956166399e-08,0.00020902002361255262,16,9,5
110,121548262098.49092,633815800000.0,0.2789634,0,0,0,0,1,1,1.2442652980373672e-07,1.2573298928696253e-07,9.364929337639987e-05,19,10,5
111,922658.5494020092,877844.8,0.2653046,0,0,0,0,1,1,1.572303730101865e-06,1.5724748836376534e-06,0.0004598297545070906,19,10,6
112,195.7260681585985,163.8787,0.1986715,0,0,0,0,1,1,6.439293542825908e-15,1.5865087021893487e-13,3.507294232485414e-06,5,3,5
113,496.7274071051296,301.3697,0.2411912,0,0,0,0,1,1,1.028808051127555e-14,4.3017036637770894e-13,1.171627413844908e-05,6,3,5
114,8207925571.780959,5184426000.0,0.2503608,0,0,0,0,1,1,3.0381105409205134e-08,2.3460437592603967e-08,0.00010013110176254614,16,9,5
115,16911759651.00485,32098470000.0,0.1954343,0,0,0,0,1,1,5.847012771731386e-07,5.835144912813561e-07,7.351604513472498e-05,21,11,6
116,34613443.94998018,25885920.0,0.2477214,0,0,0,0,1,1,1.1687484180455954e-07,1.1665483157230483e-07,6.765559578436608e-05,19,10,5
117,6969687896.790799,83620340000.0,0.2499712,0,0,0,0,1,1,3.6915191015118864e-08,3.681397969801381e-08,1.0124870472416614e-05,19,10,5
118,116.87380061763587,47.80964,0.039449,1,1,0,1,1,1,2.2843493360771228e-15,5.977380762735138e-14,8.036607292801162e-07,3,2,5
119,104627354217953.62,73314780000000.0,0.2696671,0,0,0,0,1,1,5.049229815479617e-07,5.044212990006092e-07,1.7951608345270146e-05,21,11,6
120,1119.0712103297933,1012.799,0.273146,0,0,0,0,1,1,1.640177350351437e-15,2.9966040190920756e-13,1.46797931156015e-05,11,6,6
121,1835805817.1527834,1635501000.0,0.243848,0,0,0,0,1,1,8.984551748691949e-07,8.985916975512431e-07,1.9016824049200576e-05,22,11,6
122,83138369.64301634,78410080.0,0.4050543,0,0,0,0,1,1,1.294461113169358e-06,1.2960814266247625e-06,2.546527838531481e-05,21,11,6
123,175005615846.9467,95821690000.0,0.261529,0,0,0,0,1,1,4.695600184023184e-07,4.6830933050032324e-07,0.0002468842102563622,21,11,6
124,6852.629267699247,4474.652,0.2499183,0,0,0,0,1,1,0.00022720839545470328,0.00022720839349305022,0.00018189715991984157,8,4,5
125,2948850528.204034,3616856000.0,0.2273206,0,0,0,0,1,1,1.1948497824487703e-07,1.1118195653025964e-07,0.0006917830072681319,18,9,5
126,567645.7423563352,1703543.0,0.9737294,0,0,0,0,1,1,8.767764018147162e-07,8.767671987319758e-07,5.5052861657300944e-05,21,10,6
127,6222644046.744292,35883110000.0,1.537585,0,0,0,0,1,1,3.726766031553197e-06,3.7267692351572457e-06,1.3142683430278357e-05,25,13,5
128,2418205082.045508,3754338000.0,0.2451616,0,0,0,0,1,1,1.5707775830042792e-07,1.5838525202482856e-07,0.00010812888884892402,20,10,5
129,731152.4261805082,529168.9,0.2512803,0,0,0,0,1,1,7.737145272155002e-07,7.744521163304096e-07,0.00013449219113606314,15,8,5
130,6765786885.323682,5578405000.0,0.2460746,0,0,0,0,1,1,7.351019704767262e-08,7.623221698571791e-08,0.0001013945815107967,18,10,5
131,6677262.827176405,6020156.0,0.2482057,0,0,0,0,1,1,2.3549242034182072e-07,2.391090087039416e-07,7.574998485571083e-05,18,9,5
132,21490693447.505383,200635100000.0,0.2604478,0,0,0,0,1,1,2.759357469739321e-07,2.760211839647475e-07,0.0003954614574347981,21,11,5
133,12927014715.154253,12165260000.0,0.2516571,0,0,0,0,1,1,4.2188654131577665e-08,2.8188208238751424e-08,0.00011681105733269994,17,9,5
134,8906784.6103007,7823019.0,0.249313,0,0,0,0,1,1,3.3819793268005982e-09,8.818175314436437e-09,0.00016365051581242784,16,8,5
135,157.17880413757499,188.9885,0.1732237,0,0,0,0,1,1,6.661338147750939e-16,1.056932319443149e-13,4.056713758249231e-06,4,2,5
136,6468.735242836679,13514.76,0.2358011,0,0,0,0,1,1,7.965850201685498e-15,2.3489266087750593e-12,6.586759773799522e-05,11,6,5
137,1462696279538.9414,1080332000000.0,0.2522378,0,0,0,0,1,1,6.048443058659228e-08,6.24230668629642e-08,4.398706722471134e-05,18,9,5
138,175475074.9312795,1044482000.0,0.2877244,0,0,0,0,1,1,8.453505290217933e-08,8.454488625853074e-08,4.4595166330874125e-05,20,10,5
139,1887043.4345866197,1126072.0,0.2474395,0,0,0,0,1,1,7.531318929699303e-09,7.504796527768944e-09,1.567393261257954e-05,17,9,5
140,20330.154918687953,310409.3,0.2369417,0,0,0,0,1,1,1.7982837441365973e-13,1.8628987241697814e-12,4.007032362568497e-05,13,7,5
141,8784931303.820166,8629995000.0,0.2838914,0,0,0,0,1,1,6.404488051003909e-07,6.403148543610016e-07,0.0004221436921260091,21,11,6
142,15284131.774269594,146748800.0,0.3377264,0,0,0,0,1,1,2.091332620968167e-07,2.092261501274173e-07,5.00310367188006e-05,22,11,5
143,395774936182.8511,335745300000.0,0.2474916,0,0,0,0,1,1,9.450455777180665e-08,8.930886780310913e-08,3.7425465587118516e-05,18,10,5
144,5706289.544824551,17670670.0,0.5950392,0,0,0,0,1,1,1.9158201991498203e-07,1.8994286554718798e-07,0.00012675713301268932,16,10,6
145,31170623296.43758,46365310000.0,0.2414421,0,0,0,0,1,1,3.148540232422725e-07,3.156708875406977e-07,4.764972380655319e-05,20,11,5
146,2671.9567780564544,544.6646,0.2465743,0,0,0,0,1,1,1.5077082290334003e-13,3.238732082714936e-12,1.9770078097153004e-05,7,4,5
147,16518477.013736092,7688116.0,0.2504384,0,0,0,0,1,1,5.076387582415676e-09,1.9668735833417113e-09,5.459615626027608e-05,16,8,5
148,27989095635.12814,36687580000.0,0.2481471,0,0,0,0,1,1,4.895795657766655e-08,4.8446981093519526e-08,4.601186501274057e-05,18,9,5
149,1371151237.2960527,13859640000.0,0.8776824,0,0,0,0,1,1,0.03510846891228658,0.035108468912314894,0.03510905152108679,5,3,5
150,190.97952243740343,1019.25,0.979662,0,0,0,0,1,1,2.886579864025407e-15,6.394884621840902e-14,8.807402682720067e-07,11,6,5
151,155450.07810608574,1728892.0,1.553771,0,0,0,0,1,1,2.1062497397306146e-06,2.106248372601982e-06,1.0906200726967796e-05,21,11,5
152,90550159.02338196,200668000.0,0.4609018,0,0,0,0,1,1,7.769025386072936e-07,7.769292743042833e-07,5.451710595189008e-05,23,12,6
153,4857930758.122788,9187238000.0,0.2529076,0,0,0,0,1,1,9.933790035152371e-08,9.973624515203784e-08,5.203028571638098e-05,19,10,5
154,1155468707.987048,1405104000.0,0.2426968,0,0,0,0,1,1,3.368235338419012e-07,3.365481892059208e-07,7.688805117556097e-05,21,11,6
155,16650344.567903435,7793224.0,0.2490459,0,0,0,0,1,1,8.675738089578974e-08,6.687500729846048e-08,7.757105691449244e-05,17,9,5
156,176524595.80655816,146595400.0,0.245166,0,0,0,0,1,1,1.3605034639491007e-07,1.3687631264774606e-07,0.00010120591250426107,19,10,5
157,876719.9194013883,2465055.0,0.2685908,0,0,0,0,1,1,1.205436581358521e-06,1.2053429016833928e-06,1.5398439152380927e-06,18,10,6
158,984.4622190685212,3198.762,0.280951,0,0,0,0,1,1,0.0005608252552022908,0.0005608252559134441,0.0005851331637191648,10,5,5
159,1916766004.0226538,1530349000.0,0.2450601,0,0,0,0,1,1,2.605622882456693e-07,2.6352712700905556e-07,5.837989693957546e-05,20,10,5
160,106282937046.21791,701471500000.0,0.2286927,0,0,0,0,1,1,8.535598947090328e-08,8.513045721136869e-08,0.00019947688715213352,20,11,5
161,358394055.00868577,369064600.0,0.2411147,0,0,0,0,1,1,1.2859965203837476e-07,1.2712252717150818e-07,0.00010182679910597514,18,10,5
162,174598082.40541807,132243000.0,0.2640842,0,0,0,0,1,1,1.6268963070898028e-07,1.7560875015282008e-07,0.00012814345553568838,18,9,5
163,13509.05287272081,8375.18,0.2474367,0,0,0,0,1,1,4.387658168784377e-05,4.387658711511118e-05,6.854828832654823e-05,11,6,5
164,178133910.08607978,434329900.0,0.3404156,0,0,0,0,1,1,3.1657703439258996e-07,3.1748034605790507e-07,4.378619281352777e-05,19,10,6
165,21232570752.050232,10069020000.0,0.2325708,0,0,0,0,1,1,9.436113747797975e-07,9.4377893499136e-07,0.001122684523885045,21,11,6
166,549882.5876533663,256265.1,0.253648,0,0,0,0,1,1,1.3763853115321563e-06,1.376483426833001e-06,0.00045116812866157873,16,8,6
167,17590.887589824368,10480.17,0.2500204,0,0,0,0,1,1,6.061817714453355e-14,2.5314972340595432e-11,0.000474978812378235,8,4,5
168,179209.7116071772,124894.0,0.2504194,0,0,0,0,1,1,2.7516877665334505e-12,4.764899586007232e-11,0.00012161414306355312,10,5,5
169,267124210.4896852,84056290.0,0.2497741,0,0,0,0,1,1,1.89701849419621e-08,1.3566873330188394e-08,0.00014275719697628611,16,8,5
170,592550.6177980045,854309.3,0.251581,0,0,0,0,1,1,1.3622409390512402e-06,1.3619836890521597e-06,0.00012172897794171522,15,8,5
171,34415151.082965426,30120380.0,0.2431245,0,0,0,0,1,1,2.8366956376615755e-07,2.8365329059063406e-07,9.366763224350883e-05,20,10,6
172,1904.8992718164648,959.5992,0.2552922,0,0,0,0,1,1,0.0005797936382764822,0.000579793638286777,0.0006094683322097789,10,5,6
173,106235025.53750102,60396520.0,0.2452732,0,0,0,0,1,1,4.5759251482424546e-07,4.588072417543998e-07,0.00020930960927034725,21,11,6
174,993861056.9355257,715079300.0,0.2733284,0,0,0,0,1,1,1.163196402072062e-06,1.163351268489667e-06,0.00016432242215654928,22,11,6
175,144.8360349824481,159.3176,5.686714,0,0,0,0,1,1,0.012663143784769737,0.01266314378477873,0.012663570462864482,6,3,6
176,278.02985864934755,580.0632,0.2256084,0,0,0,0,1,1,1.0658141036401503e-14,2.156053113822054e-13,1.5713848438680955e-05,5,3,5
177,11295797.95595612,7847529.0,0.2479497,0,0,0,0,1,1,2.2336358962427028e-07,2.2826462431346783e-07,0.0005480506053749945,18,9,5
178,268.8285601043404,1007.318,0.1165325,1,1,0,1,1,1,6.106226635438361e-16,6.522560269672795e-14,5.982278507732364e-06,4,2,5
179,725.988647604189,608.1768,0.2398017,0,0,0,0,1,1,4.201005945728612e-15,6.167976943889402e-13,2.6676719585334546e-06,6,3,5
180,3338727857.8892727,4504967000.0,18.88017,0,0,0,0,1,1,0.014160843535870967,0.014160843536105862,0.014193255296537756,8,3,6
181,1781.1658531296455,2900.367,0.2332008,0,0,0,0,1,1,1.0547118733938987e-15,3.120836922221315e-13,3.3355154397396447e-06,10,5,5
182,540793356.9347394,414505300.0,0.2490243,0,0,0,0,1,1,6.428318244378062e-08,6.597721158296821e-08,8.061246782775644e-05,18,9,5
183,11042812.041566458,24466590.0,0.2519389,0,0,0,0,1,1,4.6499015748935335e-09,4.894097405117037e-09,9.000061467273612e-05,17,9,5
184,1251724325425.3555,569659000000.0,0.2256622,0,0,0,0,1,1,8.482682541009459e-07,8.478856962125533e-07,7.631431128418803e-06,21,11,6
185,128.77767071004573,791.7762,0.2295256,0,0,0,0,1,1,0.0014015703634788768,0.0014015703635242849,0.0014053150790539481,6,3,5
186,1282142676.854029,913779600.0,0.2549809,0,0,0,0,1,1,1.7003277592785397e-07,1.6745446966087548e-07,9.139648535083692e-05,19,10,5
187,6641984.6211155355,3243672.0,0.2497312,0,0,0,0,1,1,2.558363366922654e-07,2.5076950193660764e-07,0.00021315567513763398,15,8,5
188,17177630.877062444,194128600.0,0.2315008,0,0,0,0,1,1,1.8117476466295024e-07,1.8125049133788096e-07,2.6032874987091947e-05,22,11,5
189,76366611.41511433,53520690.0,0.2394432,0,0,0,0,1,1,1.0629483739183703e-06,1.0626511016111345e-06,9.620214049246793e-05,21,11,6
